time,datetime,LST_Day_1km
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,14947
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,14898
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,14917
1641513600000,2022-01-07,14890
1641600000000,2022-01-08,15108
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,15062
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,14958
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,14933
1641513600000,2022-01-07,15031
1641600000000,2022-01-08,14910
1641513600000,2022-01-07,15217
1641600000000,2022-01-08,14944
1641513600000,2022-01-07,14880
1641600000000,2022-01-08,15148
1641513600000,2022-01-07,14887
1641600000000,2022-01-08,15203
1641513600000,2022-01-07,14921
1641600000000,2022-01-08,15214
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,15131
1641427200000,2022-01-06,14931
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,15028
1641427200000,2022-01-06,14938
1641513600000,2022-01-07,14991
1641600000000,2022-01-08,14970
1641427200000,2022-01-06,14988
1641600000000,2022-01-08,14936
1641427200000,2022-01-06,15000
1641600000000,2022-01-08,14907
1641427200000,2022-01-06,15010
1641600000000,2022-01-08,14925
1641513600000,2022-01-07,14923
1641600000000,2022-01-08,15234
1641513600000,2022-01-07,14923
1641600000000,2022-01-08,15255
1641513600000,2022-01-07,14923
1641600000000,2022-01-08,15244
1641600000000,2022-01-08,15114
1641427200000,2022-01-06,14943
1641600000000,2022-01-08,15048
1641427200000,2022-01-06,14976
1641600000000,2022-01-08,14989
1641427200000,2022-01-06,15010
1641600000000,2022-01-08,14954
1641427200000,2022-01-06,15009
1641600000000,2022-01-08,14942
1641427200000,2022-01-06,14994
1641600000000,2022-01-08,14934
1641427200000,2022-01-06,14982
1641600000000,2022-01-08,14939
1641427200000,2022-01-06,14975
1641600000000,2022-01-08,14939
1641513600000,2022-01-07,14923
1641600000000,2022-01-08,15227
1641513600000,2022-01-07,14923
1641600000000,2022-01-08,15246
1641513600000,2022-01-07,14923
1641600000000,2022-01-08,15247
1641427200000,2022-01-06,15006
1641513600000,2022-01-07,14923
1641600000000,2022-01-08,15264
1641427200000,2022-01-06,15038
1641513600000,2022-01-07,14923
1641427200000,2022-01-06,15093
1641600000000,2022-01-08,15033
1641427200000,2022-01-06,15072
1641600000000,2022-01-08,14995
1641427200000,2022-01-06,15049
1641600000000,2022-01-08,14970
1641600000000,2022-01-08,14951
1641427200000,2022-01-06,14960
1641600000000,2022-01-08,14940
1641427200000,2022-01-06,14956
1641600000000,2022-01-08,14938
1641427200000,2022-01-06,14968
1641600000000,2022-01-08,14951
1641427200000,2022-01-06,14938
1641600000000,2022-01-08,14888
1641427200000,2022-01-06,14927
1641600000000,2022-01-08,14900
1641254400000,2022-01-04,14638
1641600000000,2022-01-08,14690
1641686400000,2022-01-09,14711
1641600000000,2022-01-08,14683
1641686400000,2022-01-09,14700
1641427200000,2022-01-06,14731
1641600000000,2022-01-08,14701
1641686400000,2022-01-09,14661
1641427200000,2022-01-06,14766
1641600000000,2022-01-08,14781
1641427200000,2022-01-06,14810
1641600000000,2022-01-08,14819
1641427200000,2022-01-06,14806
1641600000000,2022-01-08,14847
1641427200000,2022-01-06,14798
1641600000000,2022-01-08,14862
1641600000000,2022-01-08,14894
1641600000000,2022-01-08,14940
1641427200000,2022-01-06,14893
1641600000000,2022-01-08,14958
1641427200000,2022-01-06,14891
1641600000000,2022-01-08,14954
1641427200000,2022-01-06,14877
1641600000000,2022-01-08,14936
1641427200000,2022-01-06,14863
1641600000000,2022-01-08,14950
1641427200000,2022-01-06,14864
1641600000000,2022-01-08,14902
1641427200000,2022-01-06,14876
1641600000000,2022-01-08,14881
1641600000000,2022-01-08,14884
1641600000000,2022-01-08,14869
1641600000000,2022-01-08,14898
1641600000000,2022-01-08,14925
1641600000000,2022-01-08,14901
1641600000000,2022-01-08,14874
1641600000000,2022-01-08,14898
1641600000000,2022-01-08,14925
1641600000000,2022-01-08,14943
1641600000000,2022-01-08,14952
1641600000000,2022-01-08,14975
1641600000000,2022-01-08,14994
1641600000000,2022-01-08,15241
1641427200000,2022-01-06,15051
1641600000000,2022-01-08,15250
1641427200000,2022-01-06,15108
1641600000000,2022-01-08,15237
1641427200000,2022-01-06,15038
1641427200000,2022-01-06,15068
1641427200000,2022-01-06,15091
1641600000000,2022-01-08,14999
1641427200000,2022-01-06,15074
1641600000000,2022-01-08,14995
1641427200000,2022-01-06,15063
1641600000000,2022-01-08,14858
1641427200000,2022-01-06,15058
1641600000000,2022-01-08,14933
1641427200000,2022-01-06,14943
1641600000000,2022-01-08,14943
1641427200000,2022-01-06,14951
1641600000000,2022-01-08,14948
1641427200000,2022-01-06,14968
1641600000000,2022-01-08,14947
1641427200000,2022-01-06,14931
1641600000000,2022-01-08,14939
1641427200000,2022-01-06,14912
1641600000000,2022-01-08,14946
1641427200000,2022-01-06,14909
1641600000000,2022-01-08,14941
1641427200000,2022-01-06,14904
1641600000000,2022-01-08,14938
1641600000000,2022-01-08,14709
1641686400000,2022-01-09,14661
1641600000000,2022-01-08,14733
1641427200000,2022-01-06,14741
1641600000000,2022-01-08,14808
1641427200000,2022-01-06,14739
1641600000000,2022-01-08,14848
1641427200000,2022-01-06,14795
1641600000000,2022-01-08,14865
1641427200000,2022-01-06,14771
1641600000000,2022-01-08,14889
1641427200000,2022-01-06,14753
1641600000000,2022-01-08,14896
1641600000000,2022-01-08,14953
1641427200000,2022-01-06,14893
1641600000000,2022-01-08,14972
1641427200000,2022-01-06,14881
1641600000000,2022-01-08,14973
1641427200000,2022-01-06,14868
1641600000000,2022-01-08,14947
1641427200000,2022-01-06,14865
1641600000000,2022-01-08,14892
1641427200000,2022-01-06,14885
1641600000000,2022-01-08,14888
1641427200000,2022-01-06,14906
1641600000000,2022-01-08,14906
1641600000000,2022-01-08,14941
1641600000000,2022-01-08,14928
1641254400000,2022-01-04,14766
1641600000000,2022-01-08,14950
1641254400000,2022-01-04,14766
1641600000000,2022-01-08,14949
1641254400000,2022-01-04,14766
1641600000000,2022-01-08,14909
1641600000000,2022-01-08,14875
1641600000000,2022-01-08,14892
1641600000000,2022-01-08,14927
1641600000000,2022-01-08,14943
1641600000000,2022-01-08,14959
1641600000000,2022-01-08,14978
1641600000000,2022-01-08,15009
1641600000000,2022-01-08,15038
1641600000000,2022-01-08,15037
1641600000000,2022-01-08,15050
1641600000000,2022-01-08,15061
1641600000000,2022-01-08,15041
1641600000000,2022-01-08,15022
1641600000000,2022-01-08,15019
1641600000000,2022-01-08,15023
1641600000000,2022-01-08,15023
1641600000000,2022-01-08,15016
1641600000000,2022-01-08,15012
1641600000000,2022-01-08,15028
1641600000000,2022-01-08,15078
1641600000000,2022-01-08,15066
1641600000000,2022-01-08,15032
1641427200000,2022-01-06,14971
1641600000000,2022-01-08,15029
1641427200000,2022-01-06,14999
1641600000000,2022-01-08,15057
1641427200000,2022-01-06,15001
1641600000000,2022-01-08,15047
1641427200000,2022-01-06,14961
1641600000000,2022-01-08,15062
1641427200000,2022-01-06,14966
1641600000000,2022-01-08,15070
1641427200000,2022-01-06,14966
1641600000000,2022-01-08,15036
1641427200000,2022-01-06,15012
1641600000000,2022-01-08,15032
1641427200000,2022-01-06,14980
1641600000000,2022-01-08,15064
1641427200000,2022-01-06,14980
1641600000000,2022-01-08,15059
1641600000000,2022-01-08,15052
1641600000000,2022-01-08,15035
1641600000000,2022-01-08,15001
1641600000000,2022-01-08,15018
1641600000000,2022-01-08,15008
1641600000000,2022-01-08,15018
1641600000000,2022-01-08,15003
1641600000000,2022-01-08,14979
1641600000000,2022-01-08,14947
1641600000000,2022-01-08,14920
1641600000000,2022-01-08,15091
1641513600000,2022-01-07,14928
1641427200000,2022-01-06,14717
1641513600000,2022-01-07,14928
1641427200000,2022-01-06,14737
1641513600000,2022-01-07,14928
1641427200000,2022-01-06,14829
1641513600000,2022-01-07,14928
1641427200000,2022-01-06,14896
1641513600000,2022-01-07,14928
1641427200000,2022-01-06,14948
1641513600000,2022-01-07,14928
1641600000000,2022-01-08,15091
1641427200000,2022-01-06,15014
1641600000000,2022-01-08,15251
1641427200000,2022-01-06,15060
1641600000000,2022-01-08,15235
1641427200000,2022-01-06,15103
1641600000000,2022-01-08,15213
1641427200000,2022-01-06,15059
1641600000000,2022-01-08,15132
1641427200000,2022-01-06,15058
1641600000000,2022-01-08,15038
1641427200000,2022-01-06,15053
1641600000000,2022-01-08,14974
1641427200000,2022-01-06,15059
1641600000000,2022-01-08,14885
1641427200000,2022-01-06,15033
1641600000000,2022-01-08,14842
1641427200000,2022-01-06,15020
1641600000000,2022-01-08,14949
1641600000000,2022-01-08,14968
1641600000000,2022-01-08,14974
1641600000000,2022-01-08,14968
1641600000000,2022-01-08,14986
1641600000000,2022-01-08,15002
1641427200000,2022-01-06,14925
1641600000000,2022-01-08,14947
1641427200000,2022-01-06,14885
1641600000000,2022-01-08,14933
1641427200000,2022-01-06,14864
1641600000000,2022-01-08,14925
1641427200000,2022-01-06,14823
1641600000000,2022-01-08,14929
1641427200000,2022-01-06,14847
1641600000000,2022-01-08,14911
1641600000000,2022-01-08,14741
1641686400000,2022-01-09,14668
1641600000000,2022-01-08,14786
1641600000000,2022-01-08,14814
1641427200000,2022-01-06,14784
1641600000000,2022-01-08,14843
1641427200000,2022-01-06,14784
1641600000000,2022-01-08,14881
1641254400000,2022-01-04,14678
1641427200000,2022-01-06,14733
1641600000000,2022-01-08,14930
1641254400000,2022-01-04,14678
1641427200000,2022-01-06,14733
1641600000000,2022-01-08,14931
1641254400000,2022-01-04,14678
1641600000000,2022-01-08,14941
1641600000000,2022-01-08,14955
1641427200000,2022-01-06,14808
1641600000000,2022-01-08,14957
1641427200000,2022-01-06,14803
1641600000000,2022-01-08,14950
1641427200000,2022-01-06,14873
1641600000000,2022-01-08,14954
1641427200000,2022-01-06,14928
1641600000000,2022-01-08,14982
1641427200000,2022-01-06,14960
1641600000000,2022-01-08,14989
1641427200000,2022-01-06,14960
1641600000000,2022-01-08,14973
1641254400000,2022-01-04,14766
1641600000000,2022-01-08,14805
1641254400000,2022-01-04,14705
1641600000000,2022-01-08,14668
1641254400000,2022-01-04,14689
1641600000000,2022-01-08,14812
1641254400000,2022-01-04,14667
1641600000000,2022-01-08,14954
1641600000000,2022-01-08,14977
1641600000000,2022-01-08,14958
1641600000000,2022-01-08,14963
1641600000000,2022-01-08,14976
1641600000000,2022-01-08,15011
1641600000000,2022-01-08,15018
1641600000000,2022-01-08,15033
1641600000000,2022-01-08,15032
1641600000000,2022-01-08,15025
1641600000000,2022-01-08,15016
1641600000000,2022-01-08,15018
1641600000000,2022-01-08,15031
1641600000000,2022-01-08,15022
1641600000000,2022-01-08,15018
1641600000000,2022-01-08,15054
1641600000000,2022-01-08,15016
1641600000000,2022-01-08,15004
1641427200000,2022-01-06,14842
1641600000000,2022-01-08,15011
1641427200000,2022-01-06,14856
1641600000000,2022-01-08,15018
1641427200000,2022-01-06,14874
1641600000000,2022-01-08,15033
1641427200000,2022-01-06,14893
1641600000000,2022-01-08,15044
1641427200000,2022-01-06,14973
1641600000000,2022-01-08,15055
1641427200000,2022-01-06,15027
1641600000000,2022-01-08,15073
1641427200000,2022-01-06,15031
1641600000000,2022-01-08,15039
1641427200000,2022-01-06,15011
1641600000000,2022-01-08,15006
1641427200000,2022-01-06,14990
1641600000000,2022-01-08,15014
1641427200000,2022-01-06,14962
1641600000000,2022-01-08,15051
1641427200000,2022-01-06,15001
1641600000000,2022-01-08,15066
1641427200000,2022-01-06,15013
1641600000000,2022-01-08,15105
1641427200000,2022-01-06,15006
1641600000000,2022-01-08,15109
1641427200000,2022-01-06,14973
1641600000000,2022-01-08,15067
1641427200000,2022-01-06,14941
1641600000000,2022-01-08,15044
1641427200000,2022-01-06,14919
1641600000000,2022-01-08,15048
1641600000000,2022-01-08,15034
1641600000000,2022-01-08,15023
1641600000000,2022-01-08,15012
1641600000000,2022-01-08,15014
1641600000000,2022-01-08,14990
1641600000000,2022-01-08,15020
1641600000000,2022-01-08,15099
1641600000000,2022-01-08,15122
1641427200000,2022-01-06,15033
1641427200000,2022-01-06,15025
1641600000000,2022-01-08,14883
1641427200000,2022-01-06,15014
1641600000000,2022-01-08,14945
1641427200000,2022-01-06,15056
1641600000000,2022-01-08,15101
1641427200000,2022-01-06,15075
1641600000000,2022-01-08,15145
1641427200000,2022-01-06,15035
1641600000000,2022-01-08,15159
1641427200000,2022-01-06,15046
1641600000000,2022-01-08,15188
1641427200000,2022-01-06,15059
1641600000000,2022-01-08,15091
1641427200000,2022-01-06,15050
1641600000000,2022-01-08,15051
1641427200000,2022-01-06,15039
1641600000000,2022-01-08,15003
1641427200000,2022-01-06,15055
1641600000000,2022-01-08,14998
1641427200000,2022-01-06,15079
1641600000000,2022-01-08,15017
1641427200000,2022-01-06,15085
1641600000000,2022-01-08,15000
1641427200000,2022-01-06,15085
1641600000000,2022-01-08,14975
1641600000000,2022-01-08,14993
1641600000000,2022-01-08,15002
1641600000000,2022-01-08,14977
1641600000000,2022-01-08,14909
1641600000000,2022-01-08,14930
1641427200000,2022-01-06,14949
1641427200000,2022-01-06,14949
1641427200000,2022-01-06,14928
1641600000000,2022-01-08,14674
1641427200000,2022-01-06,14869
1641600000000,2022-01-08,14700
1641600000000,2022-01-08,14722
1641427200000,2022-01-06,14974
1641600000000,2022-01-08,14695
1641600000000,2022-01-08,14661
1641600000000,2022-01-08,14731
1641600000000,2022-01-08,14832
1641600000000,2022-01-08,14850
1641600000000,2022-01-08,14854
1641600000000,2022-01-08,14875
1641600000000,2022-01-08,14868
1641600000000,2022-01-08,14838
1641600000000,2022-01-08,14829
1641600000000,2022-01-08,14829
1641600000000,2022-01-08,14818
1641600000000,2022-01-08,14830
1641600000000,2022-01-08,14860
1641427200000,2022-01-06,14892
1641600000000,2022-01-08,14905
1641427200000,2022-01-06,14947
1641600000000,2022-01-08,14917
1641168000000,2022-01-03,14710
1641427200000,2022-01-06,14954
1641600000000,2022-01-08,14921
1641168000000,2022-01-03,14729
1641427200000,2022-01-06,14959
1641600000000,2022-01-08,14894
1641168000000,2022-01-03,14741
1641600000000,2022-01-08,14939
1641168000000,2022-01-03,14766
1641600000000,2022-01-08,14972
1641600000000,2022-01-08,14752
1641686400000,2022-01-09,14668
1641600000000,2022-01-08,14772
1641686400000,2022-01-09,14668
1641600000000,2022-01-08,14803
1641600000000,2022-01-08,14862
1641600000000,2022-01-08,14901
1641254400000,2022-01-04,14678
1641600000000,2022-01-08,14928
1641254400000,2022-01-04,14678
1641600000000,2022-01-08,14934
1641254400000,2022-01-04,14677
1641600000000,2022-01-08,14931
1641600000000,2022-01-08,14953
1641427200000,2022-01-06,14750
1641600000000,2022-01-08,14937
1641427200000,2022-01-06,14749
1641600000000,2022-01-08,14934
1641427200000,2022-01-06,14855
1641600000000,2022-01-08,14918
1641427200000,2022-01-06,14922
1641600000000,2022-01-08,14981
1641427200000,2022-01-06,14952
1641600000000,2022-01-08,15017
1641427200000,2022-01-06,14960
1641600000000,2022-01-08,14993
1641600000000,2022-01-08,14774
1641254400000,2022-01-04,14667
1641600000000,2022-01-08,14659
1641254400000,2022-01-04,14667
1641600000000,2022-01-08,14938
1641600000000,2022-01-08,14975
1641600000000,2022-01-08,14975
1641600000000,2022-01-08,14988
1641600000000,2022-01-08,14984
1641600000000,2022-01-08,14997
1641600000000,2022-01-08,15035
1641600000000,2022-01-08,15050
1641600000000,2022-01-08,15074
1641600000000,2022-01-08,15098
1641600000000,2022-01-08,15057
1641600000000,2022-01-08,15026
1641600000000,2022-01-08,15021
1641600000000,2022-01-08,15009
1641600000000,2022-01-08,15010
1641600000000,2022-01-08,15020
1641600000000,2022-01-08,15013
1641600000000,2022-01-08,15001
1641600000000,2022-01-08,15006
1641427200000,2022-01-06,14852
1641600000000,2022-01-08,15007
1641427200000,2022-01-06,14882
1641600000000,2022-01-08,15024
1641427200000,2022-01-06,14910
1641600000000,2022-01-08,15055
1641427200000,2022-01-06,14933
1641600000000,2022-01-08,15076
1641427200000,2022-01-06,14993
1641600000000,2022-01-08,15076
1641427200000,2022-01-06,15006
1641600000000,2022-01-08,15071
1641600000000,2022-01-08,15057
1641600000000,2022-01-08,15030
1641600000000,2022-01-08,15031
1641427200000,2022-01-06,14949
1641600000000,2022-01-08,14994
1641427200000,2022-01-06,14948
1641600000000,2022-01-08,15044
1641427200000,2022-01-06,15033
1641600000000,2022-01-08,15109
1641427200000,2022-01-06,15045
1641600000000,2022-01-08,15096
1641427200000,2022-01-06,15080
1641600000000,2022-01-08,15068
1641427200000,2022-01-06,15006
1641600000000,2022-01-08,15071
1641427200000,2022-01-06,14978
1641600000000,2022-01-08,15051
1641600000000,2022-01-08,15032
1641600000000,2022-01-08,15053
1641600000000,2022-01-08,15064
1641600000000,2022-01-08,15000
1641600000000,2022-01-08,14974
1641600000000,2022-01-08,14998
1641427200000,2022-01-06,14981
1641600000000,2022-01-08,15111
1641427200000,2022-01-06,15019
1641600000000,2022-01-08,15189
1641427200000,2022-01-06,15058
1641600000000,2022-01-08,15195
1641427200000,2022-01-06,15081
1641600000000,2022-01-08,15192
1641427200000,2022-01-06,15073
1641600000000,2022-01-08,15012
1641427200000,2022-01-06,15050
1641600000000,2022-01-08,14987
1641427200000,2022-01-06,15080
1641600000000,2022-01-08,15035
1641427200000,2022-01-06,15110
1641600000000,2022-01-08,15100
1641427200000,2022-01-06,15062
1641600000000,2022-01-08,15099
1641427200000,2022-01-06,14982
1641600000000,2022-01-08,15097
1641427200000,2022-01-06,15014
1641600000000,2022-01-08,15136
1641427200000,2022-01-06,15051
1641600000000,2022-01-08,15070
1641427200000,2022-01-06,15051
1641600000000,2022-01-08,15022
1641427200000,2022-01-06,15050
1641600000000,2022-01-08,15017
1641427200000,2022-01-06,15046
1641600000000,2022-01-08,14969
1641427200000,2022-01-06,15046
1641600000000,2022-01-08,14971
1641427200000,2022-01-06,15051
1641600000000,2022-01-08,14990
1641600000000,2022-01-08,14977
1641600000000,2022-01-08,14970
1641600000000,2022-01-08,14951
1641600000000,2022-01-08,14937
1641600000000,2022-01-08,14889
1641427200000,2022-01-06,14934
1641427200000,2022-01-06,14926
1641427200000,2022-01-06,14916
1641427200000,2022-01-06,14952
1641427200000,2022-01-06,14952
1641600000000,2022-01-08,14784
1641600000000,2022-01-08,14765
1641600000000,2022-01-08,14767
1641600000000,2022-01-08,14814
1641600000000,2022-01-08,14881
1641600000000,2022-01-08,14881
1641600000000,2022-01-08,14892
1641600000000,2022-01-08,14875
1641427200000,2022-01-06,14927
1641600000000,2022-01-08,14839
1641427200000,2022-01-06,14924
1641600000000,2022-01-08,14840
1641427200000,2022-01-06,14916
1641600000000,2022-01-08,14816
1641427200000,2022-01-06,14869
1641600000000,2022-01-08,14821
1641427200000,2022-01-06,14856
1641600000000,2022-01-08,14835
1641427200000,2022-01-06,14855
1641600000000,2022-01-08,14865
1641427200000,2022-01-06,14884
1641600000000,2022-01-08,14901
1641427200000,2022-01-06,14905
1641600000000,2022-01-08,14933
1641168000000,2022-01-03,14710
1641427200000,2022-01-06,14944
1641600000000,2022-01-08,14941
1641168000000,2022-01-03,14710
1641427200000,2022-01-06,14957
1641600000000,2022-01-08,14928
1641168000000,2022-01-03,14734
1641427200000,2022-01-06,14966
1641600000000,2022-01-08,14938
1641168000000,2022-01-03,14766
1641600000000,2022-01-08,14974
1641600000000,2022-01-08,14790
1641600000000,2022-01-08,14793
1641600000000,2022-01-08,14770
1641600000000,2022-01-08,14801
1641600000000,2022-01-08,14863
1641600000000,2022-01-08,14884
1641254400000,2022-01-04,14667
1641600000000,2022-01-08,14906
1641254400000,2022-01-04,14664
1641600000000,2022-01-08,14950
1641600000000,2022-01-08,14939
1641427200000,2022-01-06,14689
1641600000000,2022-01-08,14932
1641427200000,2022-01-06,14756
1641600000000,2022-01-08,14940
1641427200000,2022-01-06,14846
1641600000000,2022-01-08,14970
1641254400000,2022-01-04,14713
1641427200000,2022-01-06,14931
1641600000000,2022-01-08,14985
1641254400000,2022-01-04,14721
1641427200000,2022-01-06,14948
1641600000000,2022-01-08,14986
1641254400000,2022-01-04,14731
1641427200000,2022-01-06,14956
1641600000000,2022-01-08,14945
1641254400000,2022-01-04,14749
1641600000000,2022-01-08,14707
1641600000000,2022-01-08,14845
1641600000000,2022-01-08,14933
1641600000000,2022-01-08,14977
1641600000000,2022-01-08,15007
1641600000000,2022-01-08,15028
1641600000000,2022-01-08,15030
1641427200000,2022-01-06,14969
1641600000000,2022-01-08,15015
1641427200000,2022-01-06,14948
1641600000000,2022-01-08,15019
1641427200000,2022-01-06,14946
1641600000000,2022-01-08,15048
1641427200000,2022-01-06,14946
1641600000000,2022-01-08,15057
1641427200000,2022-01-06,14897
1641600000000,2022-01-08,15055
1641427200000,2022-01-06,14897
1641600000000,2022-01-08,15017
1641600000000,2022-01-08,15051
1641600000000,2022-01-08,15026
1641600000000,2022-01-08,15004
1641600000000,2022-01-08,14998
1641600000000,2022-01-08,15004
1641600000000,2022-01-08,15012
1641427200000,2022-01-06,14781
1641600000000,2022-01-08,15001
1641427200000,2022-01-06,14800
1641600000000,2022-01-08,14998
1641427200000,2022-01-06,14829
1641600000000,2022-01-08,15013
1641427200000,2022-01-06,14937
1641600000000,2022-01-08,15052
1641427200000,2022-01-06,14945
1641600000000,2022-01-08,15050
1641427200000,2022-01-06,14947
1641600000000,2022-01-08,15044
1641427200000,2022-01-06,14937
1641600000000,2022-01-08,15068
1641427200000,2022-01-06,14919
1641600000000,2022-01-08,15080
1641600000000,2022-01-08,15066
1641600000000,2022-01-08,15058
1641600000000,2022-01-08,15044
1641427200000,2022-01-06,14952
1641600000000,2022-01-08,15022
1641427200000,2022-01-06,14964
1641600000000,2022-01-08,15069
1641427200000,2022-01-06,15033
1641600000000,2022-01-08,15061
1641427200000,2022-01-06,15054
1641600000000,2022-01-08,15136
1641427200000,2022-01-06,15066
1641600000000,2022-01-08,15074
1641427200000,2022-01-06,15043
1641600000000,2022-01-08,15063
1641427200000,2022-01-06,15002
1641600000000,2022-01-08,15055
1641600000000,2022-01-08,15055
1641600000000,2022-01-08,15078
1641600000000,2022-01-08,15025
1641427200000,2022-01-06,14867
1641600000000,2022-01-08,14966
1641427200000,2022-01-06,14875
1641600000000,2022-01-08,14980
1641427200000,2022-01-06,14892
1641600000000,2022-01-08,15046
1641427200000,2022-01-06,14981
1641600000000,2022-01-08,15182
1641427200000,2022-01-06,15029
1641600000000,2022-01-08,15250
1641427200000,2022-01-06,15063
1641600000000,2022-01-08,15196
1641427200000,2022-01-06,15075
1641600000000,2022-01-08,15140
1641427200000,2022-01-06,15048
1641600000000,2022-01-08,15050
1641427200000,2022-01-06,15029
1641600000000,2022-01-08,15008
1641427200000,2022-01-06,15026
1641600000000,2022-01-08,14987
1641427200000,2022-01-06,15096
1641600000000,2022-01-08,15033
1641427200000,2022-01-06,15095
1641600000000,2022-01-08,15091
1641427200000,2022-01-06,14960
1641600000000,2022-01-08,15109
1641427200000,2022-01-06,15023
1641600000000,2022-01-08,15121
1641427200000,2022-01-06,15045
1641600000000,2022-01-08,15058
1641427200000,2022-01-06,15048
1641600000000,2022-01-08,15007
1641427200000,2022-01-06,14978
1641600000000,2022-01-08,14990
1641427200000,2022-01-06,15013
1641600000000,2022-01-08,14951
1641427200000,2022-01-06,15066
1641600000000,2022-01-08,14958
1641600000000,2022-01-08,14938
1641600000000,2022-01-08,14986
1641600000000,2022-01-08,15016
1641600000000,2022-01-08,14948
1641600000000,2022-01-08,14909
1641600000000,2022-01-08,14897
1641427200000,2022-01-06,14901
1641427200000,2022-01-06,14913
1641427200000,2022-01-06,14947
1641427200000,2022-01-06,14949
1641427200000,2022-01-06,14941
1641600000000,2022-01-08,14923
1641427200000,2022-01-06,14940
1641600000000,2022-01-08,14869
1641600000000,2022-01-08,14891
1641427200000,2022-01-06,14923
1641600000000,2022-01-08,14883
1641427200000,2022-01-06,14923
1641600000000,2022-01-08,14889
1641427200000,2022-01-06,14875
1641600000000,2022-01-08,14906
1641427200000,2022-01-06,14875
1641600000000,2022-01-08,14904
1641427200000,2022-01-06,14979
1641600000000,2022-01-08,14900
1641427200000,2022-01-06,15008
1641600000000,2022-01-08,14893
1641600000000,2022-01-08,14865
1641427200000,2022-01-06,14925
1641600000000,2022-01-08,14833
1641427200000,2022-01-06,14924
1641600000000,2022-01-08,14834
1641427200000,2022-01-06,14907
1641600000000,2022-01-08,14857
1641427200000,2022-01-06,14923
1641600000000,2022-01-08,14878
1641427200000,2022-01-06,14936
1641600000000,2022-01-08,14899
1641427200000,2022-01-06,14923
1641600000000,2022-01-08,14926
1641427200000,2022-01-06,14921
1641600000000,2022-01-08,14942
1641168000000,2022-01-03,14710
1641427200000,2022-01-06,14921
1641600000000,2022-01-08,14950
1641168000000,2022-01-03,14710
1641427200000,2022-01-06,14962
1641600000000,2022-01-08,14963
1641168000000,2022-01-03,14863
1641427200000,2022-01-06,14953
1641600000000,2022-01-08,14979
1641168000000,2022-01-03,14870
1641600000000,2022-01-08,15000
1641600000000,2022-01-08,14826
1641600000000,2022-01-08,14829
1641600000000,2022-01-08,14805
1641600000000,2022-01-08,14828
1641600000000,2022-01-08,14892
1641600000000,2022-01-08,14935
1641254400000,2022-01-04,14653
1641600000000,2022-01-08,14964
1641254400000,2022-01-04,14647
1641600000000,2022-01-08,14967
1641254400000,2022-01-04,14616
1641600000000,2022-01-08,14943
1641254400000,2022-01-04,14587
1641600000000,2022-01-08,14928
1641254400000,2022-01-04,14587
1641600000000,2022-01-08,14941
1641427200000,2022-01-06,14844
1641600000000,2022-01-08,14969
1641254400000,2022-01-04,14720
1641427200000,2022-01-06,14928
1641600000000,2022-01-08,15014
1641254400000,2022-01-04,14734
1641427200000,2022-01-06,14946
1641600000000,2022-01-08,14985
1641254400000,2022-01-04,14744
1641427200000,2022-01-06,14957
1641600000000,2022-01-08,14938
1641254400000,2022-01-04,14744
1641600000000,2022-01-08,14946
1641254400000,2022-01-04,14718
1641427200000,2022-01-06,14930
1641600000000,2022-01-08,14940
1641254400000,2022-01-04,14664
1641427200000,2022-01-06,14916
1641600000000,2022-01-08,14968
1641254400000,2022-01-04,14652
1641427200000,2022-01-06,14932
1641600000000,2022-01-08,14991
1641254400000,2022-01-04,14632
1641427200000,2022-01-06,14983
1641600000000,2022-01-08,15047
1641427200000,2022-01-06,15007
1641600000000,2022-01-08,15064
1641427200000,2022-01-06,15015
1641600000000,2022-01-08,15073
1641427200000,2022-01-06,15007
1641600000000,2022-01-08,15062
1641427200000,2022-01-06,14969
1641600000000,2022-01-08,15014
1641427200000,2022-01-06,14945
1641600000000,2022-01-08,15008
1641427200000,2022-01-06,14949
1641600000000,2022-01-08,15014
1641427200000,2022-01-06,14941
1641600000000,2022-01-08,15017
1641427200000,2022-01-06,14933
1641600000000,2022-01-08,15035
1641600000000,2022-01-08,15009
1641600000000,2022-01-08,15014
1641600000000,2022-01-08,15014
1641600000000,2022-01-08,15013
1641600000000,2022-01-08,15020
1641427200000,2022-01-06,14781
1641600000000,2022-01-08,15030
1641427200000,2022-01-06,14781
1641600000000,2022-01-08,15029
1641427200000,2022-01-06,14805
1641600000000,2022-01-08,15018
1641427200000,2022-01-06,14838
1641600000000,2022-01-08,15027
1641600000000,2022-01-08,15037
1641427200000,2022-01-06,14924
1641600000000,2022-01-08,15048
1641427200000,2022-01-06,14920
1641600000000,2022-01-08,15022
1641427200000,2022-01-06,14908
1641600000000,2022-01-08,15063
1641427200000,2022-01-06,14849
1641600000000,2022-01-08,15084
1641427200000,2022-01-06,14920
1641600000000,2022-01-08,15031
1641600000000,2022-01-08,15049
